
16:33:20 | INFO    | frs.engine.trainer     | ep 17 [35584/88698] loss 1.0115  acc 79.16%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:33:32 | INFO    | frs.engine.trainer     | ep 17 [35634/88698] loss 1.0619  acc 78.51%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:33:45 | INFO    | frs.engine.trainer     | ep 17 [35684/88698] loss 1.0280  acc 78.77%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:33:57 | INFO    | frs.engine.trainer     | ep 17 [35734/88698] loss 1.0449  acc 79.39%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:34:09 | INFO    | frs.engine.trainer     | ep 17 [35784/88698] loss 1.0857  acc 78.46%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:34:21 | INFO    | frs.engine.trainer     | ep 17 [35834/88698] loss 1.0344  acc 79.35%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:34:33 | INFO    | frs.engine.trainer     | ep 17 [35884/88698] loss 1.0102  acc 79.26%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:34:45 | INFO    | frs.engine.trainer     | ep 17 [35934/88698] loss 1.0018  acc 79.82%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:34:58 | INFO    | frs.engine.trainer     | ep 17 [35984/88698] loss 1.0042  acc 79.66%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:35:10 | INFO    | frs.engine.trainer     | ep 17 [36034/88698] loss 1.0063  acc 79.64%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:35:22 | INFO    | frs.engine.trainer     | ep 17 [36084/88698] loss 1.0193  acc 79.38%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:35:34 | INFO    | frs.engine.trainer     | ep 17 [36134/88698] loss 1.0454  acc 78.61%  lr 0.00037  fnorm 22.6  wnorm 0.2567  788 img/s
16:35:39 | INFO    | frs.engine.checkpoint  | Saved checkpoint: runs/essi_fr_v1/checkpoints/last.pt (epoch 17, step 1544000)
16:35:51 | INFO    | frs.engine.trainer     | ep 17 [36184/88698] loss 1.0242  acc 78.93%  lr 0.00037  fnorm 22.6  wnorm 0.2567  557 img/s
16:36:04 | INFO    | frs.engine.trainer     | ep 17 [36234/88698] loss 1.0214  acc 79.38%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
16:36:16 | INFO    | frs.engine.trainer     | ep 17 [36284/88698] loss 1.0421  acc 78.66%  lr 0.00037  fnorm 22.6  wnorm 0.2567  789 img/s
